Feature,Importance
SCHOOL_NAME_COLEGIO DE LA UNIVERSIDAD LIBRE,1.71023848897064e-06
COD_S11_SB11201320431828,1.7101334971722662e-06
UNIVERSITY_UNIVERSIDAD DE IBAGUE-IBAGUE,1.6852513924835856e-06
COD_S11_SB11201320175273,1.6736695838766084e-06
SCHOOL_NAME_FUND COL SANTA ISABEL DE HUNGRIA - CIUDAD 2000,1.6692930436679703e-06
Cod_SPro_EK201830004135,1.6679309978908686e-06
Cod_SPro_EK201830078638,1.6357113751963947e-06
ACADEMIC_PROGRAM_MECHANICAL ENGINEERING,1.622198672875274e-06
UNIVERSITY_UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,1.6197092406934036e-06
COD_S11_SB11201220176939,1.615344827241646e-06
"UNIVERSITY_FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",1.6112957326074451e-06
COD_S11_SB11201320258558,1.5813318997984236e-06
COD_S11_SB11201420028056,1.5551421040927984e-06
SCHOOL_NAME_NUEVO COL SAN JUAN BAUTISTA,1.5448349481638182e-06
UNIVERSITY_UNIVERSIDAD ECCI-BOGOTÁ D.C.,1.5054779434280163e-06
SCHOOL_NAME_LIC DE APLICACION PSICOPEDAGOGICO,1.4969120020255287e-06
SCHOOL_NAME_IE JUAN BAUTISTA ARNAUD,1.478059037400719e-06
SCHOOL_NAME_IE JOSE MANUEL PALACIOS PALACIOS,1.4775464167448097e-06
UNIVERSITY_UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,1.476511785964871e-06
SCHOOL_NAME_COLEGIO COOPERATIVO TOMAS CIPRIANO DE MOSQUERA,1.4529720494032167e-06
UNIVERSITY_UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,1.4474757974114607e-06
Cod_SPro_EK201830064845,1.4403989822917723e-06
UNIVERSITY_UNIVERSIDAD LIBRE-BARRANQUILLA,1.422992142076789e-06
COD_S11_SB11201320030189,1.4027199561131023e-06
COD_S11_SB11201320536245,1.3928873399095276e-06
SCHOOL_NAME_COLEGIO SAN JOSE NORTE (IED),1.3673386913049245e-06
SCHOOL_NAME_INST. COLOMBO BOLIVARIANO,1.367307191022251e-06
COD_S11_SB11201220325049,1.3365276971077168e-06
SCHOOL_NAME_GIMN LOS ANDES,1.2946676857296116e-06
COD_S11_SB11201320075244,1.294560232103869e-06
UNIVERSITY_UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,1.2919500662733735e-06
OCC_FATHER_Executive,1.291272559042578e-06
SCHOOL_NAME_INSTITUCION EDUCATIVA SAN BARTOLOME DE LA FLORIDA,1.2691908899427351e-06
COD_S11_SB11201410041386,1.26731117227702e-06
SCHOOL_NAME_COL SAN FRANCISCO JAVIER,1.2626215559899038e-06
UNIVERSITY_UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES,1.2477134559120126e-06
UNIVERSITY_CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,1.245021829471938e-06
UNIVERSITY_UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,1.2302410331046187e-06
UNIVERSITY_UNIVERSIDAD DE LOS LLANOS-VILLAVICENCIO,1.2222126457540873e-06
SCHOOL_NAME_COL AGUSTINA FERRO,1.2173193265018054e-06
SCHOOL_NAME_CHON-KAY,1.2050876440258415e-06
SCHOOL_NAME_COL CRISTIANO SEMILLA DE VIDA,1.2018950239470524e-06
SCHOOL_NAME_IE SAN JOSE DE CANALETE,1.199387214259124e-06
SCHOOL_NAME_LIC EDAD DE ORO,1.1900305333991754e-06
SCHOOL_NAME_LICEO LOS ANGELES,1.1867289202202765e-06
PEOPLE_HOUSE_Six,1.178417833761716e-06
